Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-06-07 03:00:00,24.970000000000027,90,1.96,light rain
2024-06-07 06:00:00,24.5,91,2.07,light rain
2024-06-07 09:00:00,24.29000000000002,91,2.07,light rain
2024-06-07 12:00:00,23.720000000000027,93,1.75,overcast clouds
2024-06-07 15:00:00,23.78000000000003,93,1.26,overcast clouds
2024-06-07 18:00:00,23.670000000000016,94,1.38,light rain
2024-06-07 21:00:00,23.680000000000007,94,1.35,light rain
2024-06-08 00:00:00,24.970000000000027,88,1.7,overcast clouds
2024-06-08 03:00:00,27.200000000000045,79,1.53,overcast clouds
2024-06-08 06:00:00,29.910000000000025,69,1.64,light rain
2024-06-08 09:00:00,29.54000000000002,74,3.83,light rain
2024-06-08 12:00:00,27.02000000000004,87,3.05,moderate rain
2024-06-08 15:00:00,26.220000000000027,90,3.16,moderate rain
2024-06-08 18:00:00,25.82000000000005,91,2.36,light rain
2024-06-08 21:00:00,25.57000000000005,91,2.44,moderate rain
2024-06-09 00:00:00,25.980000000000018,90,2.12,light rain
2024-06-09 03:00:00,29.960000000000036,71,2.78,light rain
2024-06-09 06:00:00,32.26000000000005,59,3.46,light rain
2024-06-09 09:00:00,29.470000000000027,77,1.51,moderate rain
2024-06-09 12:00:00,28.170000000000016,82,2.14,light rain
2024-06-09 15:00:00,26.99000000000001,88,2.52,light rain
2024-06-09 18:00:00,26.410000000000025,89,2.36,light rain
2024-06-09 21:00:00,25.920000000000016,89,1.8,light rain
2024-06-10 00:00:00,27.590000000000032,83,1.93,light rain
2024-06-10 03:00:00,31.129999999999995,64,2.91,light rain
2024-06-10 06:00:00,30.600000000000023,69,1.36,moderate rain
2024-06-10 09:00:00,28.629999999999995,82,2.26,moderate rain
2024-06-10 12:00:00,27.689999999999998,83,3.06,light rain
2024-06-10 15:00:00,26.680000000000007,88,2.57,light rain
2024-06-10 18:00:00,26.370000000000005,88,1.71,light rain
2024-06-10 21:00:00,26.05000000000001,91,0.8,light rain
2024-06-11 00:00:00,27.33000000000004,85,0.95,light rain
2024-06-11 03:00:00,27.950000000000045,82,1.6,light rain
2024-06-11 06:00:00,31.970000000000027,62,1.64,light rain
2024-06-11 09:00:00,30.430000000000007,70,3.23,light rain
2024-06-11 12:00:00,28.79000000000002,76,4.09,broken clouds
2024-06-11 15:00:00,27.58000000000004,79,3.03,broken clouds
2024-06-11 18:00:00,26.710000000000036,85,1.83,broken clouds
2024-06-11 21:00:00,26.390000000000043,88,1.45,overcast clouds
2024-06-12 00:00:00,28.189999999999998,80,1.4,overcast clouds
